Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2017-02-01,,,,,
,,,,,,
"Egypt, Arab Rep.",EGY,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,
"Egypt, Arab Rep.",EGY,Expenditure on secondary as % of government expenditure on education (%),SE.XPD.SECO.ZS,,,
"Egypt, Arab Rep.",EGY,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,
"Egypt, Arab Rep.",EGY,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,,,
"Egypt, Arab Rep.",EGY,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,
"Egypt, Arab Rep.",EGY,"All education staff compensation, total (% of total expenditure in public institutions)",SE.XPD.MTOT.ZS,,,
"Egypt, Arab Rep.",EGY,"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.MTER.ZS,,,
"Egypt, Arab Rep.",EGY,"All education staff compensation, secondary (% of total expenditure in secondary public institutions)",SE.XPD.MSEC.ZS,,,
"Egypt, Arab Rep.",EGY,"All education staff compensation, primary (% of total expenditure in primary public institutions)",SE.XPD.MPRM.ZS,,,
"Egypt, Arab Rep.",EGY,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,
"Egypt, Arab Rep.",EGY,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,,,
"Egypt, Arab Rep.",EGY,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,,,
"Egypt, Arab Rep.",EGY,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,,,
"Egypt, Arab Rep.",EGY,"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,44.4082717896,,
"Egypt, Arab Rep.",EGY,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,33.3683280945,,
"Egypt, Arab Rep.",EGY,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,29.9151096344,,
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,31.6789894104,,
"Egypt, Arab Rep.",EGY,"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,23.8710708618,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,5.8885798454,,
"Egypt, Arab Rep.",EGY,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,7.0351800919,,
"Egypt, Arab Rep.",EGY,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,4.6775197983,,
"Egypt, Arab Rep.",EGY,"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,45.1281204224,,
"Egypt, Arab Rep.",EGY,"Teachers in secondary education, female (number)",SE.SEC.TCHR.FE,257914,,
"Egypt, Arab Rep.",EGY,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,571515,,
"Egypt, Arab Rep.",EGY,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,63.2952804565,,
"Egypt, Arab Rep.",EGY,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,61.5117301941,,
"Egypt, Arab Rep.",EGY,"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,58.6764297485,,
"Egypt, Arab Rep.",EGY,"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,65.4529418945,,
"Egypt, Arab Rep.",EGY,"Percentage of male teachers in secondary education who are trained, male (%)",SE.SEC.TCAQ.MA.ZS,59.3416481018,,
"Egypt, Arab Rep.",EGY,Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,65.0180587769,,
"Egypt, Arab Rep.",EGY,"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS,60.064540863,,
"Egypt, Arab Rep.",EGY,"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,70.3193893433,,
"Egypt, Arab Rep.",EGY,"Percentage of female teachers in secondary education who are trained, female (%)",SE.SEC.TCAQ.FE.ZS,68.1025466919,,
"Egypt, Arab Rep.",EGY,"Effective transition rate from primary to lower secondary general education, both sexes (%)",SE.SEC.PROG.ZS,,,
"Egypt, Arab Rep.",EGY,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Percentage of enrolment in secondary education in private institutions (%),SE.SEC.PRIV.ZS,6.9780201912,,
"Egypt, Arab Rep.",EGY,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,81.2956008911,,
"Egypt, Arab Rep.",EGY,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,82.4507980347,,
"Egypt, Arab Rep.",EGY,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,81.8582077026,,
"Egypt, Arab Rep.",EGY,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,86.3312606812,,
"Egypt, Arab Rep.",EGY,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,85.8611907959,,
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,86.1023178101,,
"Egypt, Arab Rep.",EGY,Percentage of students in secondary vocational education who are female (%),SE.SEC.ENRL.VO.FE.ZS,42.5696411133,,
"Egypt, Arab Rep.",EGY,"Enrolment in secondary vocational, both sexes (number)",SE.SEC.ENRL.VO,1726961,,
"Egypt, Arab Rep.",EGY,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,12.0874099731,,
"Egypt, Arab Rep.",EGY,Pupil-teacher ratio in secondary education (headcount basis),SE.SEC.ENRL.TC.ZS,14.3624000549,,
"Egypt, Arab Rep.",EGY,"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,16.559879303,,
"Egypt, Arab Rep.",EGY,Percentage of students in secondary general education who are female (%),SE.SEC.ENRL.GC.FE.ZS,50.1637001038,,
"Egypt, Arab Rep.",EGY,"Enrolment in secondary general, both sexes (number)",SE.SEC.ENRL.GC,6481368,,
"Egypt, Arab Rep.",EGY,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,48.5659713745,,
"Egypt, Arab Rep.",EGY,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,8208329,,
"Egypt, Arab Rep.",EGY,Theoretical duration of secondary education (years),SE.SEC.DURS,6,6,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,83.0722503662,,
"Egypt, Arab Rep.",EGY,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,80.9705810547,,
"Egypt, Arab Rep.",EGY,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,85.2873001099,,
"Egypt, Arab Rep.",EGY,Official entrance age to lower secondary education (years),SE.SEC.AGES,12,12,
"Egypt, Arab Rep.",EGY,Children out of school (% of primary school age),SE.PRM.UNER.ZS,1.0581599474,,
"Egypt, Arab Rep.",EGY,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,1.4520599842,,
"Egypt, Arab Rep.",EGY,"Children out of school, primary, male",SE.PRM.UNER.MA,80080,,
"Egypt, Arab Rep.",EGY,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,0.639779985,,
"Egypt, Arab Rep.",EGY,"Children out of school, primary, female",SE.PRM.UNER.FE,33219,,
"Egypt, Arab Rep.",EGY,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,113300,,
"Egypt, Arab Rep.",EGY,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,98.5479431152,,
"Egypt, Arab Rep.",EGY,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,99.3602218628,,
"Egypt, Arab Rep.",EGY,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,98.9418411255,,
"Egypt, Arab Rep.",EGY,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,58.6547317505,,
"Egypt, Arab Rep.",EGY,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,480824,,
"Egypt, Arab Rep.",EGY,"Percentage of teachers in primary education who are trained, both sexes (%)",SE.PRM.TCAQ.ZS,72.7039413452,,
"Egypt, Arab Rep.",EGY,"Percentage of male teachers in primary education who are trained, male (%)",SE.PRM.TCAQ.MA.ZS,69.2683029175,,
"Egypt, Arab Rep.",EGY,"Percentage of female teachers in primary education who are trained, female (%)",SE.PRM.TCAQ.FE.ZS,75.1257019043,,
"Egypt, Arab Rep.",EGY,"Percentage of repeaters in primary education, all grades, both sexes (%)",SE.PRM.REPT.ZS,,,
"Egypt, Arab Rep.",EGY,"Percentage of repeaters in primary education, all grades, male (%)",SE.PRM.REPT.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Percentage of repeaters in primary education, all grades, female (%)",SE.PRM.REPT.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Survival rate to the last grade of primary education, both sexes (%)",SE.PRM.PRSL.ZS,,,
"Egypt, Arab Rep.",EGY,"Survival rate to the last grade of primary education, male (%)",SE.PRM.PRSL.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Survival rate to the last grade of primary education, female (%)",SE.PRM.PRSL.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Survival rate to Grade 5 of primary education, both sexes (%)",SE.PRM.PRS5.ZS,,,
"Egypt, Arab Rep.",EGY,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,8.4487695694,,
"Egypt, Arab Rep.",EGY,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,,,
"Egypt, Arab Rep.",EGY,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Net intake rate to Grade 1 of primary education, both sexes (%)",SE.PRM.NINT.ZS,,,
"Egypt, Arab Rep.",EGY,"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,97.66796875,,
"Egypt, Arab Rep.",EGY,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,98.4114532471,,
"Egypt, Arab Rep.",EGY,"Net enrolment rate, primary, both sexes (%)",SE.PRM.NENR,98.028503418,,
"Egypt, Arab Rep.",EGY,"Gross intake ratio to Grade 1 of primary education, both sexes (%)",SE.PRM.GINT.ZS,103.4507293701,,
"Egypt, Arab Rep.",EGY,"Gross intake ratio to Grade 1 of primary education, male (%)",SE.PRM.GINT.MA.ZS,103.2757797241,,
"Egypt, Arab Rep.",EGY,"Gross intake ratio to Grade 1 of primary education, female (%)",SE.PRM.GINT.FE.ZS,103.636680603,,
"Egypt, Arab Rep.",EGY,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,104.0762023926,,
"Egypt, Arab Rep.",EGY,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,103.7741699219,,
"Egypt, Arab Rep.",EGY,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,103.9297332764,,
"Egypt, Arab Rep.",EGY,Pupil-teacher ratio in primary education (headcount basis),SE.PRM.ENRL.TC.ZS,23.1436691284,,
"Egypt, Arab Rep.",EGY,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,48.4206199646,,
"Egypt, Arab Rep.",EGY,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,11128030,,
"Egypt, Arab Rep.",EGY,Theoretical duration of primary education (years),SE.PRM.DURS,6,6,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,
"Egypt, Arab Rep.",EGY,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Official entrance age to primary education (years),SE.PRM.AGES,6,6,
"Egypt, Arab Rep.",EGY,Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,73.1918869019,,
"Egypt, Arab Rep.",EGY,"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,13.2515296936,,
"Egypt, Arab Rep.",EGY,"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,74.3727264404,,
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,30.6032600403,,
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,30.02409935,,
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,30.322479248,,
"Egypt, Arab Rep.",EGY,Pupil-teacher ratio in pre-primary education (headcount basis),SE.PRE.ENRL.TC.ZS,27.8913593292,,
"Egypt, Arab Rep.",EGY,"Preprimary education, duration (years)",SE.PRE.DURS,2,2,
"Egypt, Arab Rep.",EGY,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.896510005,,
"Egypt, Arab Rep.",EGY,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.9945499897,,
"Egypt, Arab Rep.",EGY,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.9956300259,,
"Egypt, Arab Rep.",EGY,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9970999956,,
"Egypt, Arab Rep.",EGY,Duration of compulsory education (years),SE.COM.DURS,12,,
"Egypt, Arab Rep.",EGY,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,75.8426208496,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,,83.6136627197,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,68.0577926636,
"Egypt, Arab Rep.",EGY,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,93.2928695679,
"Egypt, Arab Rep.",EGY,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,,94.4535369873,
"Egypt, Arab Rep.",EGY,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,,0.9748700261,
"Egypt, Arab Rep.",EGY,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,92.0794677734,
"Egypt, Arab Rep.",EGY,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,
"Egypt, Arab Rep.",EGY,Coverage (%) - All Social Insurance,per_si_allsi.cov_pop_tot,,,
"Egypt, Arab Rep.",EGY,Benefits incidence in poorest quintile (%) - All Social Insurance,per_si_allsi.ben_q1_tot,,,
"Egypt, Arab Rep.",EGY,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,
"Egypt, Arab Rep.",EGY,Coverage (%) - All Social Assistance,per_sa_allsa.cov_pop_tot,,,
"Egypt, Arab Rep.",EGY,Benefits incidence in poorest quintile (%) - All Social Assistance,per_sa_allsa.ben_q1_tot,,,
"Egypt, Arab Rep.",EGY,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,,
"Egypt, Arab Rep.",EGY,Coverage (%) - All Labor Market,per_lm_alllm.cov_pop_tot,,,
"Egypt, Arab Rep.",EGY,Benefits incidence in poorest quintile (%) - All Labor Market,per_lm_alllm.ben_q1_tot,,,
"Egypt, Arab Rep.",EGY,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,
"Egypt, Arab Rep.",EGY,Coverage (%) -All Social Protection and Labor,per_allsp.cov_pop_tot,,,
"Egypt, Arab Rep.",EGY,Benefits incidence in poorest quintile (%) -All Social Protection and Labor,per_allsp.ben_q1_tot,,,
"Egypt, Arab Rep.",EGY,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,,,
"Egypt, Arab Rep.",EGY,"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05,,,
"Egypt, Arab Rep.",EGY,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,2.2116948405,2.4378789187,
"Egypt, Arab Rep.",EGY,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.3179657832,0.331219948,
"Egypt, Arab Rep.",EGY,"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05,,,
"Egypt, Arab Rep.",EGY,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,2.2166984579,2.433042372,
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7.0776085606,7.6912583333,
"Egypt, Arab Rep.",EGY,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,6.9715,7.3457,
"Egypt, Arab Rep.",EGY,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,1944513457.55701,-2343631178.70718,
"Egypt, Arab Rep.",EGY,Net current transfers from abroad (constant LCU),NY.TRF.NCTR.KN,,,
"Egypt, Arab Rep.",EGY,Net current transfers from abroad (current LCU),NY.TRF.NCTR.CN,211710512000,162319920000,
"Egypt, Arab Rep.",EGY,Net current transfers from abroad (current US$),NY.TRF.NCTR.CD,30368000000,22097270512.0002,
"Egypt, Arab Rep.",EGY,Net taxes on products (constant LCU),NY.TAX.NIND.KN,,,
"Egypt, Arab Rep.",EGY,Net taxes on products (current LCU),NY.TAX.NIND.CN,-75919900000,-29225000000,
"Egypt, Arab Rep.",EGY,Net taxes on products (current US$),NY.TAX.NIND.CD,-10890038011.9056,-3978518044.57029,
"Egypt, Arab Rep.",EGY,Net income from abroad (constant LCU),NY.GSR.NFCY.KN,,,
"Egypt, Arab Rep.",EGY,Net income from abroad (current LCU),NY.GSR.NFCY.CN,-50864064000,-44631300000,
"Egypt, Arab Rep.",EGY,Net income from abroad (current US$),NY.GSR.NFCY.CD,-7296000000,-6075840287.51515,
"Egypt, Arab Rep.",EGY,Gross savings (% of GDP),NY.GNS.ICTR.ZS,12.0342597555,9.5976853465,
"Egypt, Arab Rep.",EGY,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,12.3326998499,9.7772773284,
"Egypt, Arab Rep.",EGY,Gross savings (current LCU),NY.GNS.ICTR.CN,252948105800,233204558550,
"Egypt, Arab Rep.",EGY,Gross savings (current US$),NY.GNS.ICTR.CD,36283168012.6228,31747084491.6073,
"Egypt, Arab Rep.",EGY,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,9807.4625228098,10064.0599111694,
"Egypt, Arab Rep.",EGY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,10330,10710,
"Egypt, Arab Rep.",EGY,GNI per capita (constant LCU),NY.GNP.PCAP.KN,18834.7062614101,19327.4877964868,
"Egypt, Arab Rep.",EGY,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,0.167119888,2.6163483955,
"Egypt, Arab Rep.",EGY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2588.7495551987,2656.480262651,
"Egypt, Arab Rep.",EGY,GNI per capita (current LCU),NY.GNP.PCAP.CN,22896.2211626812,26065.1146405819,
"Egypt, Arab Rep.",EGY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3210,3340,
"Egypt, Arab Rep.",EGY,"GNI, PPP (constant 2011 international $)",NY.GNP.MKTP.PP.KD,878549256330.669,920942839732.319,
"Egypt, Arab Rep.",EGY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,925266099538.1,980323535442.099,
"Egypt, Arab Rep.",EGY,GNI (constant LCU),NY.GNP.MKTP.KN,1687206771444.05,1768621376789.89,
"Egypt, Arab Rep.",EGY,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2.4145326562,4.825407693,
"Egypt, Arab Rep.",EGY,GNI (constant 2010 US$),NY.GNP.MKTP.KD,231899330867.349,243089419019.005,
"Egypt, Arab Rep.",EGY,GNI (current LCU),NY.GNP.MKTP.CN,2051035936000,2385168700000,
"Egypt, Arab Rep.",EGY,GNI (current US$),NY.GNP.MKTP.CD,294202960051.639,324702710429.231,
"Egypt, Arab Rep.",EGY,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,287682504200.603,305861053813.242,
"Egypt, Arab Rep.",EGY,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,1731144513457.56,1799482768821.29,
"Egypt, Arab Rep.",EGY,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,5.2809362957,5.9318915137,
"Egypt, Arab Rep.",EGY,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,111000000000,144133100000,
"Egypt, Arab Rep.",EGY,Gross domestic savings (current US$),NY.GDS.TOTL.CD,15921968012.6228,19621424779.1225,
"Egypt, Arab Rep.",EGY,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,7.9797935199,3.8502841838,
"Egypt, Arab Rep.",EGY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,5.8685831767,2.6078776545,
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10048.5724279793,10249.9579136244,
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10585.1245571256,10913.4331673676,
"Egypt, Arab Rep.",EGY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,19303.4870523636,19690.3521660447,
"Egypt, Arab Rep.",EGY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.0145457884,2.0041203573,
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2653.8989293081,2707.086258012,
"Egypt, Arab Rep.",EGY,GDP per capita (current LCU),NY.GDP.PCAP.CN,23464.029282537,26552.8453202014,
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3365.7074205748,3614.7467661627,
"Egypt, Arab Rep.",EGY,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,1.5560774817,0.77400045,
"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,900147802069.485,937954009756.403,
"Egypt, Arab Rep.",EGY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,948211964736.211,998667359007.861,
"Egypt, Arab Rep.",EGY,GDP (constant LCU),NY.GDP.MKTP.KN,1729200000000,1801826400000,
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.2287910139,4.2,
"Egypt, Arab Rep.",EGY,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,237735390300.773,247720276693.405,
